type,id,author,editor,advisor,note,title,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc;;;;
article,3191646,Sebasti&#225;n  Ferrada and Nicol&#225;"s  Bravo and Benjamin  Bustos and Aidan  Hogan,,,,Querying Wikimedia Images Using Wikidata Facts,1815--1821,,7,""imgpedia, linked data, multimedia, wikidata, wikimedia"",10.1145/3184558.3191646,,,,,,,2018,,Companion Proceedings of the The Web Conference 2018,WWW '18,,978-1-4503-5640-4,""Lyon, France"",International World Wide Web Conferences Steering Committee,""Republic and Canton of Geneva, Switzerland""";;
"article,2891112,Thomas  Steiner,,,,Wikipedia Tools for Google Spreadsheets,997--1000,,4,""google sheets, google spreadsheets, wikidata, wikipedia"",10.1145/2872518.2891112,,,,,,,2016,,Proceedings of the 25th International Conference Companion on World Wide Web,WWW '16 Companion,,978-1-4503-4144-8,""Montr&#233";al, Qu&#233;"bec, Canada"",International World Wide Web Conferences Steering Committee,""Republic and Canton of Geneva, Switzerland""";;
"article,2957798,Maximilian  Klein and Harsh  Gupta and Vivek  Rai and Piotr  Konieczny and Haiyi  Zhu,,,,Monitoring the Gender Gap with Wikidata Human Gender Indicators,16:1--16:9,16,9,""Biographical Database, Gender Disparities, Wikidata, Wikipedia"",10.1145/2957792.2957798,,,,,,,2016,,Proceedings of the 12th International Symposium on Open Collaboration,OpenSym '16,,978-1-4503-4451-7,""Berlin, Germany"",ACM,""New York, NY, USA""";;;;
article,2188242,Denny  Vrande&#269;i&#263;",,,,Wikidata: A New Platform for Collaborative Data Collection,1063--1064,,2,""semantic web, wikipedia, wikidata, linked data"",10.1145/2187980.2188242,,,,,,,2012,,Proceedings of the 21st International Conference on World Wide Web,WWW '12 Companion,,978-1-4503-1230-1,""Lyon, France"",ACM,""New York, NY, USA""";;
article,2629489,Denny  Vrande&#269;i&#263; and Markus  Kr&#246;"tzsch,,,,Wikidata: A Free Collaborative Knowledgebase,78--85,,8,,10.1145/2629489,Commun. ACM,14-Oct,57,10,,September,2014,0001-0782,,,,,,ACM,""New York, NY, USA""";
article,2891117,Freddy  Brasileiro and Jo&#227;"o Paulo A. Almeida and Victorio A. Carvalho and Giancarlo  Guizzardi,,,,Applying a Multi-Level Modeling Theory to Assess Taxonomic Hierarchies in Wikidata,975--980,,6,""metamodeling, multi-level modeling, taxonomies, wikidata"",10.1145/2872518.2891117,,,,,,,2016,,Proceedings of the 25th International Conference Companion on World Wide Web,WWW '16 Companion,,978-1-4503-4144-8,""Montr&#233";al, Qu&#233;"bec, Canada"",International World Wide Web Conferences Steering Committee,""Republic and Canton of Geneva, Switzerland""";
"article,2641583,Daniel  Kinzler and Lydia  Pintscher,,,,Wikidata: How We Brought Structured Data to Wikipedia,43:1--43:1,43,1,,10.1145/2641580.2641583,,,,,,,2014,,Proceedings of The International Symposium on Open Collaboration,OpenSym '14,,978-1-4503-3016-9,""Berlin, Germany"",ACM,""New York, NY, USA""";;;;
"article,2983740,Stefan  Heindorf and Martin  Potthast and Benno  Stein and Gregor  Engels,,,,Vandalism Detection in Wikidata,327--336,,10,""data quality, knowledge base, trust, vandalism"",10.1145/2983323.2983740,,,,,,,2016,,Proceedings of the 25th ACM International on Conference on Information and Knowledge Management,CIKM '16,,978-1-4503-4073-1,""Indianapolis, Indiana, USA"",ACM,""New York, NY, USA""";;;;
article,2789836,Claudia  M&#252;ller-Birn and Benjamin  Karran and Janette  Lehmann and Markus  Luczak-R&#246;"sch,,,,Peer-production System or Collaborative Ontology Engineering Effort: What is Wikidata?,20:1--20:10,20,10,""Wikidata, collaborative ontology engineering, participation patterns, peer-production"",10.1145/2788993.2789836,,,,,,,2015,,Proceedings of the 11th International Symposium on Open Collaboration,OpenSym '15,,978-1-4503-3666-6,""San Francisco, California"",ACM,""New York, NY, USA""";;
"article,2576948,Thomas  Steiner,,,,""Bots vs. Wikipedians, Anons vs. Logged-ins"",547--548,,2,""realtime monitoring, study, web app, wikidata, wikipedia"",10.1145/2567948.2576948,,,,,,,2014,,Proceedings of the 23rd International Conference on World Wide Web,WWW '14 Companion,,978-1-4503-2745-9,""Seoul, Korea"",ACM,""New York, NY, USA""";;;;
